<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GLDRUB_TOM;D;20230104;000000;4106.4;4156;4075.01;4149.98;26210
GLDRUB_TOM;D;20230105;000000;4147.95;4200;4121.36;4198;23640
GLDRUB_TOM;D;20230106;000000;4207.01;4250;4165;4182;16695
GLDRUB_TOM;D;20230107;000000;4180.04;4198;4100;4192.08;14024
GLDRUB_TOM;D;20230110;000000;4222.97;4222.98;4111;4169.99;63429
GLDRUB_TOM;D;20230111;000000;4177.99;4178;4080;4172;34933
GLDRUB_TOM;D;20230112;000000;4145.03;4185;4100;4109.99;73384
GLDRUB_TOM;D;20230113;000000;4118.9;4118.9;4001;4068.49;100611
GLDRUB_TOM;D;20230114;000000;4089;4139.55;4045.02;4120;65446
GLDRUB_TOM;D;20230117;000000;4131;4170.2;4116;4161;62312
GLDRUB_TOM;D;20230118;000000;4155.03;4198.3;4146.36;4170;48228
GLDRUB_TOM;D;20230119;000000;4156.15;4195;4150;4177;103647
GLDRUB_TOM;D;20230120;000000;4186.49;4196;4162;4195.3;52257
GLDRUB_TOM;D;20230121;000000;4184.05;4204.78;4171;4197.99;67770
GLDRUB_TOM;D;20230124;000000;4202.99;4220;4170.01;4186.02;127897
GLDRUB_TOM;D;20230125;000000;4200.03;4279.99;4186;4249.98;88180
GLDRUB_TOM;D;20230126;000000;4255;4309.94;4230;4253.2;64948
GLDRUB_TOM;D;20230127;000000;4260;4291;4232.43;4253.99;83431
GLDRUB_TOM;D;20230128;000000;4240.05;4261;4230;4253.13;42705
GLDRUB_TOM;D;20230131;000000;4250.05;4292;4231.13;4283;53241
GLDRUB_TOM;D;20230201;000000;4280;4298;4257.09;4273.51;117141
GLDRUB_TOM;D;20230202;000000;4284.99;4349;4270;4339.9;73084
GLDRUB_TOM;D;20230203;000000;4350;4398.97;4330;4335.03;55084
GLDRUB_TOM;D;20230204;000000;4320;4344.99;4245.85;4270;89253
GLDRUB_TOM;D;20230207;000000;4282.95;4282.98;4215;4253.02;91973
GLDRUB_TOM;D;20230208;000000;4274.91;4275;4240;4265.16;54684
GLDRUB_TOM;D;20230209;000000;4274.98;4334.99;4256;4323.11;65367
GLDRUB_TOM;D;20230210;000000;4322.95;4400;4315.16;4367.99;97005
GLDRUB_TOM;D;20230211;000000;4366.96;4366.96;4295.6;4336.45;67845
GLDRUB_TOM;D;20230214;000000;4295.69;4379.99;4295.69;4379.99;83503
GLDRUB_TOM;D;20230215;000000;4379.98;4400;4325.1;4349.97;103802
GLDRUB_TOM;D;20230216;000000;4345.03;4380;4320;4359.49;44734
GLDRUB_TOM;D;20230217;000000;4364.97;4400;4350;4383.49;86714
GLDRUB_TOM;D;20230218;000000;4367.81;4395;4320;4330.01;64984
GLDRUB_TOM;D;20230221;000000;4321.02;4396;4315;4387.01;61350
GLDRUB_TOM;D;20230222;000000;4386.98;4396.97;4350;4384.05;64405
GLDRUB_TOM;D;20230223;000000;4385;4395;4345.01;4383.97;50957
GLDRUB_TOM;D;20230225;000000;4360.03;4397;4330.11;4393.5;25722
GLDRUB_TOM;D;20230228;000000;4371.73;4399.99;4318.02;4340.11;111959
GLDRUB_TOM;D;20230301;000000;4340.36;4385;4311.41;4373.99;45399
GLDRUB_TOM;D;20230302;000000;4353.11;4410;4350.03;4406.05;69545
GLDRUB_TOM;D;20230303;000000;4430.97;4430.97;4405;4424.98;74460
GLDRUB_TOM;D;20230304;000000;4441.99;4480.67;4423.05;4474.99;127690
GLDRUB_TOM;D;20230307;000000;4475.02;4544.8;4442.01;4492.43;84041
GLDRUB_TOM;D;20230308;000000;4490;4491.29;4450.75;4457.05;69058
GLDRUB_TOM;D;20230310;000000;4450.76;4474.89;4430;4462.45;47618
GLDRUB_TOM;D;20230311;000000;4464.22;4527.62;4455.03;4527;61072
GLDRUB_TOM;D;20230314;000000;4544.8;4610;4530.17;4599.98;94159
GLDRUB_TOM;D;20230315;000000;4626;4638.75;4581;4617.04;65587
GLDRUB_TOM;D;20230316;000000;4624.97;4740;4592.14;4738.98;109715
GLDRUB_TOM;D;20230317;000000;4738.89;4772.47;4700;4750.03;90713
GLDRUB_TOM;D;20230318;000000;4770;4868.99;4734.01;4854.99;125318
GLDRUB_TOM;D;20230321;000000;4894.97;5039;4869;4949.49;179222
GLDRUB_TOM;D;20230322;000000;4959.93;4984.84;4838.3;4880.01;120456
GLDRUB_TOM;D;20230323;000000;4869.99;4883.98;4801.1;4845;128343
GLDRUB_TOM;D;20230324;000000;4979.99;4979.99;4805;4848.88;109980
GLDRUB_TOM;D;20230325;000000;4858.02;4913.99;4825.02;4910;111079
GLDRUB_TOM;D;20230328;000000;4909.95;4909.95;4822;4851.28;113680
GLDRUB_TOM;D;20230329;000000;4851.29;4887.74;4822.61;4879;90158
GLDRUB_TOM;D;20230330;000000;4900.01;4909.98;4863.46;4889;34232
GLDRUB_TOM;D;20230331;000000;4882.3;4908.98;4867.13;4899.98;70146
GLDRUB_TOM;D;20230401;000000;4908.96;4983.83;4880.37;4940.02;92028
GLDRUB_TOM;D;20230404;000000;4880.02;5026.01;4822.63;5021.99;92138
GLDRUB_TOM;D;20230405;000000;4984.62;5119.99;4977.13;5116;189612
GLDRUB_TOM;D;20230406;000000;5120;5150;5072.22;5100.11;165313
GLDRUB_TOM;D;20230407;000000;5100.15;5195.93;5061.05;5184.95;170978
GLDRUB_TOM;D;20230408;000000;5190;5294.97;5140;5154.11;164239
GLDRUB_TOM;D;20230411;000000;5168.8;5220.01;5084.94;5186.99;103263
GLDRUB_TOM;D;20230412;000000;5240.84;5300;5181.09;5281;204746
GLDRUB_TOM;D;20230413;000000;5344.97;5388;5259.97;5279.17;121195
GLDRUB_TOM;D;20230414;000000;5310.01;5344.95;5262.8;5327.98;213606
GLDRUB_TOM;D;20230415;000000;5360.01;5385.95;5265.52;5275;203162
GLDRUB_TOM;D;20230418;000000;5325;5325;5185;5201.09;118706
GLDRUB_TOM;D;20230419;000000;5180;5261.49;5175.05;5258.99;158090
GLDRUB_TOM;D;20230420;000000;5258.99;5259.99;5176.05;5215.01;84609
GLDRUB_TOM;D;20230421;000000;5239.9;5255.45;5054.32;5230.01;98217
GLDRUB_TOM;D;20230422;000000;5259.83;5259.83;5170.12;5190;38401
GLDRUB_TOM;D;20230425;000000;5170.03;5200;5151.1;5175;102858
GLDRUB_TOM;D;20230426;000000;5181.03;5229.99;5173.26;5202.02;101825
GLDRUB_TOM;D;20230427;000000;5204.97;5260;5190.3;5244.98;93411
GLDRUB_TOM;D;20230428;000000;5225.03;5268.99;5180.02;5195.09;50977
GLDRUB_TOM;D;20230429;000000;5218.98;5218.98;5070;5157;72066
GLDRUB_TOM;D;20230503;000000;5154.92;5198.85;5076.21;5198.73;70142
GLDRUB_TOM;D;20230504;000000;5170.03;5220;5105.64;5184.99;30074
GLDRUB_TOM;D;20230505;000000;5205;5278.31;5100;5170;61411
GLDRUB_TOM;D;20230506;000000;5162.02;5200;5019;5058.99;137505
GLDRUB_TOM;D;20230509;000000;5058.99;5148.98;4872;5125;15168
GLDRUB_TOM;D;20230511;000000;5150.01;5150.01;4962.89;5004.89;77720
GLDRUB_TOM;D;20230512;000000;5028.76;5097.43;4905.01;5061.09;124099
GLDRUB_TOM;D;20230513;000000;4997.18;5060.69;4990.04;5058;60462
GLDRUB_TOM;D;20230516;000000;5090.02;5151;4975.05;5143.99;53477
GLDRUB_TOM;D;20230517;000000;5151;5204.94;5125;5152.11;47650
GLDRUB_TOM;D;20230518;000000;5164.99;5183.27;5092.3;5095.01;171205
GLDRUB_TOM;D;20230519;000000;5051.17;5128.89;5051;5082.8;60089
GLDRUB_TOM;D;20230520;000000;5089.94;5101.72;5028;5084.99;80219
GLDRUB_TOM;D;20230523;000000;5084.99;5100;5050;5069;99551
GLDRUB_TOM;D;20230524;000000;5043.83;5089.96;5010;5057.74;99815
GLDRUB_TOM;D;20230525;000000;5060;5105.06;5040.58;5088.99;70020
GLDRUB_TOM;D;20230526;000000;5094.99;5094.99;5003;5043;59549
GLDRUB_TOM;D;20230527;000000;5042.96;5043;5000;5000.03;49212
GLDRUB_TOM;D;20230530;000000;4998.01;5058.96;4975;5058.96;71099
GLDRUB_TOM;D;20230531;000000;5049.99;5110;4994.07;5095;60657
GLDRUB_TOM;D;20230601;000000;5125.01;5130.7;5060;5110.01;109142
GLDRUB_TOM;D;20230602;000000;5075.01;5120;5066;5112.02;99378
GLDRUB_TOM;D;20230603;000000;5124.92;5149;5095.06;5135;80491
GLDRUB_TOM;D;20230606;000000;5100.03;5138.98;5062;5083.51;48272
GLDRUB_TOM;D;20230607;000000;5126.97;5134.97;5073.01;5106.01;52179
GLDRUB_TOM;D;20230608;000000;5134.93;5140;5088.27;5124.92;113715
GLDRUB_TOM;D;20230609;000000;5143.98;5199.99;5091.45;5198.01;83966
GLDRUB_TOM;D;20230610;000000;5158.05;5235;5158.05;5182;107811
GLDRUB_TOM;D;20230614;000000;5156.08;5284.74;5156.08;5257.01;86161
GLDRUB_TOM;D;20230615;000000;5294.97;5319.99;5230;5273.97;45813
GLDRUB_TOM;D;20230616;000000;5263.49;5263.49;5150;5203;85162
GLDRUB_TOM;D;20230617;000000;5219.13;5254.78;5200;5239.99;75867
GLDRUB_TOM;D;20230620;000000;5229.1;5296;5198.66;5240.99;65792
GLDRUB_TOM;D;20230621;000000;5250.98;5265;5222.36;5240;58959
GLDRUB_TOM;D;20230622;000000;5249.89;5249.89;5180;5193.04;77641
GLDRUB_TOM;D;20230623;000000;5180.16;5215.37;5135;5167.91;115163
GLDRUB_TOM;D;20230624;000000;5190;5202;5125;5182;117816
GLDRUB_TOM;D;20230627;000000;5230;5262;5167.99;5250;155881
GLDRUB_TOM;D;20230628;000000;5251.97;5251.99;5205.11;5225;122814
GLDRUB_TOM;D;20230629;000000;5242.83;5265;5201.02;5260;109422
GLDRUB_TOM;D;20230630;000000;5265.85;5320;5220;5315;60641
GLDRUB_TOM;D;20230701;000000;5300.03;5444;5275;5429.99;153388
GLDRUB_TOM;D;20230704;000000;5388.94;5435;5275;5398;82461
GLDRUB_TOM;D;20230705;000000;5360;5465;5358;5426.88;174796
GLDRUB_TOM;D;20230706;000000;5403.03;5509.72;5403;5498.9;230016
GLDRUB_TOM;D;20230707;000000;5553.48;5648.29;5481.29;5525;331549
GLDRUB_TOM;D;20230708;000000;5549.99;5578;5512;5529.99;117435
GLDRUB_TOM;D;20230711;000000;5530;5564.97;5460.01;5476.01;65622
GLDRUB_TOM;D;20230712;000000;5537.97;5539.99;5455.07;5494.88;108569
GLDRUB_TOM;D;20230713;000000;5514.87;5573.29;5478.89;5542;90787
GLDRUB_TOM;D;20230714;000000;5580;5597.87;5250;5510.02;116355
GLDRUB_TOM;D;20230715;000000;5535;5547.99;5455;5546.99;59617
GLDRUB_TOM;D;20230718;000000;5535.05;5582.5;5510.17;5580;76438
GLDRUB_TOM;D;20230719;000000;5600;5635.05;5556;5628.98;80378
GLDRUB_TOM;D;20230720;000000;5628.15;5680.31;5405.11;5659.98;142279
GLDRUB_TOM;D;20230721;000000;5657;5700;5630;5639.96;180205
GLDRUB_TOM;D;20230722;000000;5614.86;5672;5602.2;5670.01;142059
GLDRUB_TOM;D;20230725;000000;5678;5684.13;5583.28;5609.99;95008
GLDRUB_TOM;D;20230726;000000;5610.04;5636.33;5565.01;5611.97;99164
GLDRUB_TOM;D;20230727;000000;5601.49;5629;5512;5625;117962
GLDRUB_TOM;D;20230728;000000;5626.3;5650;5578.24;5620;136383
GLDRUB_TOM;D;20230729;000000;5621.3;5674.98;5582.68;5674.9;58261
GLDRUB_TOM;D;20230801;000000;5674.79;5708.26;5630;5705;107031
GLDRUB_TOM;D;20230802;000000;5710;5715.46;5660.88;5709.89;66292
GLDRUB_TOM;D;20230803;000000;5709.98;5778.19;5686;5768.98;97983
GLDRUB_TOM;D;20230804;000000;5773;5808.83;5712;5782.01;70534
GLDRUB_TOM;D;20230805;000000;5802.82;5898.69;5769;5879.99;84327
GLDRUB_TOM;D;20230808;000000;5881.01;5949.5;5822.5;5866.99;143347
GLDRUB_TOM;D;20230809;000000;5893.86;5978.23;5861;5959.99;100776
GLDRUB_TOM;D;20230810;000000;5967.01;5984.27;5914.99;5920.02;145167
GLDRUB_TOM;D;20230811;000000;5937;5992.02;5851.1;5991.84;70801
GLDRUB_TOM;D;20230812;000000;5985.01;6097;5971.05;6097;78512
GLDRUB_TOM;D;20230815;000000;6095;6210;5760;5913.89;208169
GLDRUB_TOM;D;20230816;000000;5886.01;6033.83;5666;5928.99;230737
GLDRUB_TOM;D;20230817;000000;5889.99;5944.27;5693.26;5715;108967
GLDRUB_TOM;D;20230818;000000;5749.78;5750;5480;5675.31;151603
GLDRUB_TOM;D;20230819;000000;5691.34;5691.34;5550;5674.89;79566
GLDRUB_TOM;D;20230822;000000;5681.93;5716.14;5630;5659.9;69828
GLDRUB_TOM;D;20230823;000000;5669;5765;5659.94;5723.9;77460
GLDRUB_TOM;D;20230824;000000;5730.27;5800;5730;5790;81268
GLDRUB_TOM;D;20230825;000000;5824.99;5998;5805.02;5861;60126
GLDRUB_TOM;D;20230826;000000;5880;5915;5803.01;5898.98;79825
GLDRUB_TOM;D;20230829;000000;5898.99;5952.83;5879.45;5947;58901
GLDRUB_TOM;D;20230830;000000;5957;5980;5910.03;5979;53259
GLDRUB_TOM;D;20230831;000000;5978.99;6025;5851;6025;53281
GLDRUB_TOM;D;20230901;000000;5981.87;6060;5962.19;5980.99;59567
GLDRUB_TOM;D;20230902;000000;5979.99;6049;5916;6005.07;34357
GLDRUB_TOM;D;20230905;000000;6004.96;6045.45;5970.01;6036.98;33406
GLDRUB_TOM;D;20230906;000000;6049.92;6090;6000.01;6090;61125
GLDRUB_TOM;D;20230907;000000;6090;6169.13;6039.64;6077.01;63556
GLDRUB_TOM;D;20230908;000000;6104.95;6104.95;5982.04;6076;62092
GLDRUB_TOM;D;20230909;000000;6039.01;6100;6020.22;6024.5;65790
GLDRUB_TOM;D;20230912;000000;6025.02;6025.04;5852.01;5869.98;65192
GLDRUB_TOM;D;20230913;000000;5868.97;5868.97;5697.01;5796.01;81541
GLDRUB_TOM;D;20230914;000000;5800.01;5918.19;5740;5887.99;36104
GLDRUB_TOM;D;20230915;000000;5900;5972.97;5835;5900.03;44344
GLDRUB_TOM;D;20230916;000000;5900.05;5988;5865.01;5969;58862
GLDRUB_TOM;D;20230919;000000;5965;5997;5916.04;5968;34798
GLDRUB_TOM;D;20230920;000000;5991.99;5992;5930.3;5975.03;39788
GLDRUB_TOM;D;20230921;000000;5975.02;5994.97;5950.11;5979.02;64137
GLDRUB_TOM;D;20230922;000000;5975;5990;5820;5873.98;260555
GLDRUB_TOM;D;20230923;000000;5879;5905;5834.01;5870.4;147586
GLDRUB_TOM;D;20230926;000000;5876;5895;5824.77;5868.5;36866
GLDRUB_TOM;D;20230927;000000;5868.5;5874.95;5805;5820;58456
GLDRUB_TOM;D;20230928;000000;5821.25;5855.99;5750;5787.01;53681
GLDRUB_TOM;D;20230929;000000;5787.01;5826.25;5782;5806.99;96430
GLDRUB_TOM;D;20230930;000000;5805.04;5859.97;5801.63;5828.26;43186
GLDRUB_TOM;D;20231003;000000;5826.99;5841.49;5760.22;5830;46649
GLDRUB_TOM;D;20231004;000000;5840.99;5843.48;5800.19;5827;28730
GLDRUB_TOM;D;20231005;000000;5830.01;5842.2;5780;5820;66583
GLDRUB_TOM;D;20231006;000000;5825;5838.36;5789;5795;115065
GLDRUB_TOM;D;20231007;000000;5824.98;5849.99;5750.5;5839.26;116564
GLDRUB_TOM;D;20231010;000000;5840;5973.98;5812.29;5855.95;63821
GLDRUB_TOM;D;20231011;000000;5877.97;5970.42;5845;5953.69;69489
GLDRUB_TOM;D;20231012;000000;5952.81;5973.88;5905.01;5927.98;82607
GLDRUB_TOM;D;20231013;000000;5829.99;5847.9;5710.49;5775;123366
GLDRUB_TOM;D;20231014;000000;5800;5852.19;5751.5;5850;70878
GLDRUB_TOM;D;20231017;000000;5877;5974.96;5835.2;5900;64684
GLDRUB_TOM;D;20231018;000000;5918.68;5943.03;5870;5928;51383
GLDRUB_TOM;D;20231019;000000;5952.36;5968.85;5910.86;5959.91;93913
GLDRUB_TOM;D;20231020;000000;5959.91;5959.99;5869.38;5921.11;178389
GLDRUB_TOM;D;20231021;000000;5928.2;5950;5901.15;5948;49292
GLDRUB_TOM;D;20231024;000000;5964.94;5998;5839.36;5879.82;152173
GLDRUB_TOM;D;20231025;000000;5877.99;5899.91;5813.71;5818.87;74448
GLDRUB_TOM;D;20231026;000000;5810.01;5862.99;5771.07;5795;123850
GLDRUB_TOM;D;20231027;000000;5818.87;5868.95;5800.17;5849.79;53811
GLDRUB_TOM;D;20231028;000000;5889.72;5898;5801.01;5845;136956
GLDRUB_TOM;D;20231031;000000;5874.99;5895;5807.55;5814.98;70090
GLDRUB_TOM;D;20231101;000000;5837.94;5837.94;5750.49;5818.99;99862
GLDRUB_TOM;D;20231102;000000;5817.99;5817.99;5700;5727.95;89002
GLDRUB_TOM;D;20231103;000000;5729.99;5791.99;5727.95;5775.18;93204
GLDRUB_TOM;D;20231104;000000;5775.18;5808.73;5751;5776.02;47795
GLDRUB_TOM;D;20231107;000000;5775.18;5775.18;5731.52;5745.51;12641
GLDRUB_TOM;D;20231108;000000;5708.06;5787.95;5690;5715.5;50662
GLDRUB_TOM;D;20231109;000000;5745.51;5750.12;5670;5681;42095
GLDRUB_TOM;D;20231110;000000;5676.01;5694.85;5605.05;5673.92;62378
GLDRUB_TOM;D;20231111;000000;5677;5749;5643.59;5676.89;64986
GLDRUB_TOM;D;20231114;000000;5676.89;5705.96;5625;5630;33058
GLDRUB_TOM;D;20231115;000000;5640;5641;5605.96;5636;59795
GLDRUB_TOM;D;20231116;000000;5694;5707.4;5585.15;5620;99459
GLDRUB_TOM;D;20231117;000000;5620.01;5688.8;5450;5535;196633
GLDRUB_TOM;D;20231118;000000;5555.01;5580.29;5529.52;5580;86822
GLDRUB_TOM;D;20231121;000000;5593.29;5593.29;5480;5501.8;58104
GLDRUB_TOM;D;20231122;000000;5511;5556.2;5495.24;5556.2;24164
GLDRUB_TOM;D;20231123;000000;5577.75;5585.04;5503.79;5539.5;101462
GLDRUB_TOM;D;20231124;000000;5567.99;5567.99;5505.03;5545.2;57935
GLDRUB_TOM;D;20231125;000000;5629.98;5629.98;5535.04;5555.75;75392
GLDRUB_TOM;D;20231128;000000;5559.98;5615.7;5555.95;5590;60411
GLDRUB_TOM;D;20231129;000000;5619.99;5675;5591.23;5661;49231
GLDRUB_TOM;D;20231130;000000;5688.53;5688.54;5660.04;5682;55493
GLDRUB_TOM;D;20231201;000000;5661.11;5738;5661.11;5712.01;49718
GLDRUB_TOM;D;20231202;000000;5738.99;5799;5687.52;5784;58442
GLDRUB_TOM;D;20231205;000000;5855.01;5900;5791.52;5830.12;135543
GLDRUB_TOM;D;20231206;000000;5840;5875.94;5827.76;5855.2;55274
GLDRUB_TOM;D;20231207;000000;5860;5910;5831.98;5887;72349
GLDRUB_TOM;D;20231208;000000;5887;5897.99;5840;5841.98;65056
GLDRUB_TOM;D;20231209;000000;5850.36;5870;5680.38;5704.01;122626
GLDRUB_TOM;D;20231212;000000;5713;5737.98;5395;5623.61;67478
GLDRUB_TOM;D;20231213;000000;5614;5636;5570;5570;46208
GLDRUB_TOM;D;20231214;000000;5599.98;5604.99;5546.59;5580;39560
GLDRUB_TOM;D;20231215;000000;5647;5774.74;5603.1;5734.98;105969
GLDRUB_TOM;D;20231216;000000;5734.98;5750;5682.01;5713.26;77689
GLDRUB_TOM;D;20231219;000000;5739.98;5739.98;5654.28;5696.99;59535
GLDRUB_TOM;D;20231220;000000;5684;5735.47;5651;5718.38;54463
